scenario,model,product,location,period,internal,external,inventory,max_inventory_violation,ontime_Strategic,unserved_Strategic,ontime_Standard,unserved_Standard,ontime_Spot,unserved_Spot
Scaled stress test,A_transactional_only,P12,L09,6,28.0,0.0,0.0,0.0,28.0,0.0,0.0,18.0,0.0,17.0
Scaled stress test,A_transactional_only,P12,L09,7,24.0,0.0,0.0,0.0,24.0,0.0,0.0,13.0,0.0,9.0
Scaled stress test,A_transactional_only,P12,L09,8,19.0,0.0,0.0,0.0,19.0,0.0,0.0,20.0,0.0,12.0
Scaled stress test,A_transactional_only,P12,L09,9,21.0,0.0,0.0,0.0,21.0,0.0,0.0,19.0,0.0,5.0
Scaled stress test,A_transactional_only,P12,L09,10,19.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,0.0,17.0
Scaled stress test,A_transactional_only,P12,L09,11,20.0,0.0,0.0,0.0,20.0,0.0,0.0,13.0,0.0,15.0
Scaled stress test,A_transactional_only,P12,L09,12,17.0,0.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,12.0
Scaled stress test,A_transactional_only,P12,L10,1,0.0,0.0,10.0,0.0,14.0,0.0,0.0,21.0,0.0,16.0
Scaled stress test,A_transactional_only,P12,L10,2,16.0,0.0,0.0,0.0,26.0,0.0,0.0,9.0,0.0,15.0
Scaled stress test,A_transactional_only,P12,L10,3,24.0,0.0,0.0,0.0,24.0,0.0,0.0,19.0,0.0,8.0
Scaled stress test,A_transactional_only,P12,L10,4,15.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,10.0
Scaled stress test,A_transactional_only,P12,L10,5,21.0,0.0,0.0,0.0,21.0,0.0,0.0,18.0,0.0,7.0
Scaled stress test,A_transactional_only,P12,L10,6,21.0,0.0,0.0,0.0,21.0,0.0,0.0,16.0,0.0,19.0
Scaled stress test,A_transactional_only,P12,L10,7,24.0,0.0,0.0,0.0,24.0,0.0,0.0,12.0,0.0,5.0
Scaled stress test,A_transactional_only,P12,L10,8,24.0,0.0,0.0,0.0,24.0,0.0,0.0,25.0,0.0,6.0
Scaled stress test,A_transactional_only,P12,L10,9,28.0,0.0,0.0,0.0,28.0,0.0,0.0,12.0,0.0,11.0
Scaled stress test,A_transactional_only,P12,L10,10,28.0,0.0,0.0,0.0,28.0,0.0,0.0,18.0,0.0,17.0
Scaled stress test,A_transactional_only,P12,L10,11,25.0,0.0,0.0,0.0,25.0,0.0,0.0,9.0,0.0,11.0
Scaled stress test,A_transactional_only,P12,L10,12,24.0,0.0,0.0,0.0,24.0,0.0,0.0,21.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L01,1,3.0,0.0,0.0,0.0,26.0,0.0,0.0,10.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L01,2,23.0,0.0,0.0,0.0,23.0,0.0,0.0,17.0,0.0,19.0
Scaled stress test,A_transactional_only,P13,L01,3,29.0,0.0,0.0,0.0,29.0,0.0,0.0,23.0,0.0,4.0
Scaled stress test,A_transactional_only,P13,L01,4,26.0,0.0,0.0,0.0,26.0,0.0,0.0,23.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L01,5,19.0,0.0,0.0,0.0,19.0,0.0,0.0,24.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L01,6,17.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L01,7,16.0,0.0,0.0,0.0,16.0,0.0,0.0,18.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L01,8,20.0,0.0,0.0,0.0,20.0,0.0,0.0,9.0,0.0,6.0
Scaled stress test,A_transactional_only,P13,L01,9,16.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,15.0
Scaled stress test,A_transactional_only,P13,L01,10,27.0,0.0,0.0,0.0,27.0,0.0,0.0,22.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L01,11,23.0,0.0,0.0,0.0,23.0,0.0,0.0,20.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L01,12,19.0,0.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L02,1,6.0,0.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L02,2,24.0,0.0,0.0,0.0,24.0,0.0,0.0,17.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L02,3,16.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L02,4,24.0,0.0,0.0,0.0,24.0,0.0,0.0,13.0,0.0,14.0
Scaled stress test,A_transactional_only,P13,L02,5,17.0,0.0,0.0,0.0,17.0,0.0,0.0,19.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L02,6,14.0,0.0,0.0,0.0,14.0,0.0,0.0,20.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L02,7,14.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L02,8,28.0,0.0,0.0,0.0,28.0,0.0,0.0,20.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L02,9,21.0,0.0,0.0,0.0,21.0,0.0,0.0,14.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L02,10,25.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,0.0,4.0
Scaled stress test,A_transactional_only,P13,L02,11,21.0,0.0,0.0,0.0,21.0,0.0,0.0,19.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L02,12,15.0,0.0,0.0,0.0,15.0,0.0,0.0,24.0,0.0,19.0
Scaled stress test,A_transactional_only,P13,L03,1,0.0,0.0,0.0,0.0,19.0,0.0,6.0,11.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L03,2,19.0,0.0,0.0,0.0,19.0,0.0,0.0,25.0,0.0,14.0
Scaled stress test,A_transactional_only,P13,L03,3,18.0,0.0,0.0,0.0,18.0,0.0,0.0,24.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L03,4,22.0,0.0,0.0,0.0,22.0,0.0,0.0,18.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L03,5,20.0,0.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L03,6,24.0,0.0,0.0,0.0,24.0,0.0,0.0,13.0,0.0,15.0
Scaled stress test,A_transactional_only,P13,L03,7,28.0,0.0,0.0,0.0,28.0,0.0,0.0,14.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L03,8,17.0,0.0,0.0,0.0,17.0,0.0,0.0,11.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L03,9,30.0,0.0,0.0,0.0,30.0,0.0,0.0,13.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L03,10,16.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L03,11,14.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L03,12,28.0,0.0,0.0,0.0,28.0,0.0,0.0,16.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L04,1,0.0,0.0,0.0,0.0,14.0,0.0,1.0,12.0,0.0,14.0
Scaled stress test,A_transactional_only,P13,L04,2,16.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,4.0
Scaled stress test,A_transactional_only,P13,L04,3,17.0,0.0,0.0,0.0,17.0,0.0,0.0,10.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L04,4,23.0,0.0,0.0,0.0,23.0,0.0,0.0,17.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L04,5,16.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L04,6,22.0,0.0,0.0,0.0,22.0,0.0,0.0,9.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L04,7,23.0,0.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L04,8,29.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L04,9,28.0,0.0,0.0,0.0,28.0,0.0,0.0,21.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L04,10,20.0,0.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L04,11,30.0,0.0,0.0,0.0,30.0,0.0,0.0,16.0,0.0,8.0
Scaled stress test,A_transactional_only,P13,L04,12,23.0,0.0,0.0,0.0,23.0,0.0,0.0,21.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L05,1,0.0,0.0,0.0,0.0,28.0,0.0,2.0,23.0,0.0,15.0
Scaled stress test,A_transactional_only,P13,L05,2,29.0,0.0,0.0,0.0,29.0,0.0,0.0,9.0,0.0,15.0
Scaled stress test,A_transactional_only,P13,L05,3,20.0,0.0,0.0,0.0,20.0,0.0,0.0,14.0,0.0,15.0
Scaled stress test,A_transactional_only,P13,L05,4,26.0,0.0,0.0,0.0,26.0,0.0,0.0,14.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L05,5,18.0,0.0,0.0,0.0,18.0,0.0,0.0,22.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L05,6,30.0,0.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L05,7,21.0,0.0,0.0,0.0,21.0,0.0,0.0,20.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L05,8,22.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L05,9,23.0,0.0,0.0,0.0,23.0,0.0,0.0,21.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L05,10,27.0,0.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L05,11,18.0,0.0,0.0,0.0,18.0,0.0,0.0,13.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L05,12,17.0,0.0,0.0,0.0,17.0,0.0,0.0,22.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L06,1,19.0,0.0,0.0,0.0,27.0,0.0,0.0,14.0,0.0,20.0
Scaled stress test,A_transactional_only,P13,L06,2,18.0,0.0,0.0,0.0,18.0,0.0,0.0,19.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L06,3,27.0,0.0,0.0,0.0,27.0,0.0,0.0,21.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L06,4,17.0,0.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L06,5,29.0,0.0,0.0,0.0,29.0,0.0,0.0,15.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L06,6,30.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L06,7,20.0,0.0,0.0,0.0,20.0,0.0,0.0,23.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L06,8,17.0,0.0,0.0,0.0,17.0,0.0,0.0,22.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L06,9,23.0,0.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L06,10,25.0,0.0,0.0,0.0,25.0,0.0,0.0,20.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L06,11,16.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L06,12,22.0,0.0,0.0,0.0,22.0,0.0,0.0,12.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L07,1,11.0,0.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,6.0
Scaled stress test,A_transactional_only,P13,L07,2,29.0,0.0,0.0,0.0,29.0,0.0,0.0,14.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L07,3,23.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L07,4,21.0,0.0,0.0,0.0,21.0,0.0,0.0,22.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L07,5,21.0,0.0,0.0,0.0,21.0,0.0,0.0,9.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L07,6,17.0,0.0,0.0,0.0,17.0,0.0,0.0,23.0,0.0,19.0
Scaled stress test,A_transactional_only,P13,L07,7,14.0,0.0,0.0,0.0,14.0,0.0,0.0,16.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L07,8,15.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L07,9,26.0,0.0,0.0,0.0,26.0,0.0,0.0,16.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L07,10,16.0,0.0,0.0,0.0,16.0,0.0,0.0,25.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L07,11,27.0,0.0,0.0,0.0,27.0,0.0,0.0,25.0,0.0,19.0
Scaled stress test,A_transactional_only,P13,L07,12,19.0,0.0,0.0,0.0,19.0,0.0,0.0,22.0,0.0,17.0
Scaled stress test,A_transactional_only,P13,L08,1,2.0,0.0,0.0,0.0,21.0,0.0,0.0,25.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L08,2,25.0,0.0,0.0,0.0,25.0,0.0,0.0,22.0,0.0,4.0
Scaled stress test,A_transactional_only,P13,L08,3,22.0,0.0,0.0,0.0,22.0,0.0,0.0,24.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L08,4,20.0,0.0,0.0,0.0,20.0,0.0,0.0,24.0,0.0,8.0
Scaled stress test,A_transactional_only,P13,L08,5,23.0,0.0,0.0,0.0,23.0,0.0,0.0,22.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L08,6,26.0,0.0,0.0,0.0,26.0,0.0,0.0,9.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L08,7,26.0,0.0,0.0,0.0,26.0,0.0,0.0,23.0,0.0,14.0
Scaled stress test,A_transactional_only,P13,L08,8,21.0,0.0,0.0,0.0,21.0,0.0,0.0,19.0,0.0,6.0
Scaled stress test,A_transactional_only,P13,L08,9,15.0,0.0,0.0,0.0,15.0,0.0,0.0,11.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L08,10,23.0,0.0,0.0,0.0,23.0,0.0,0.0,18.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L08,11,16.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L08,12,25.0,0.0,0.0,0.0,25.0,0.0,0.0,14.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L09,1,22.0,0.0,0.0,0.0,30.0,0.0,0.0,23.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L09,2,28.0,0.0,0.0,0.0,28.0,0.0,0.0,21.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L09,3,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L09,4,29.0,0.0,0.0,0.0,29.0,0.0,0.0,21.0,0.0,16.0
Scaled stress test,A_transactional_only,P13,L09,5,22.0,0.0,0.0,0.0,22.0,0.0,0.0,12.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L09,6,28.0,0.0,0.0,0.0,28.0,0.0,0.0,17.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L09,7,28.0,0.0,0.0,0.0,28.0,0.0,0.0,21.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L09,8,18.0,0.0,0.0,0.0,18.0,0.0,0.0,25.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L09,9,18.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L09,10,14.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,0.0,6.0
Scaled stress test,A_transactional_only,P13,L09,11,28.0,0.0,0.0,0.0,28.0,0.0,0.0,18.0,0.0,18.0
Scaled stress test,A_transactional_only,P13,L09,12,16.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L10,1,21.0,0.0,0.0,0.0,26.0,0.0,0.0,20.0,0.0,8.0
Scaled stress test,A_transactional_only,P13,L10,2,29.0,0.0,0.0,0.0,29.0,0.0,0.0,11.0,0.0,4.0
Scaled stress test,A_transactional_only,P13,L10,3,18.0,0.0,0.0,0.0,18.0,0.0,0.0,25.0,0.0,11.0
Scaled stress test,A_transactional_only,P13,L10,4,16.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,10.0
Scaled stress test,A_transactional_only,P13,L10,5,30.0,0.0,0.0,0.0,30.0,0.0,0.0,11.0,0.0,8.0
Scaled stress test,A_transactional_only,P13,L10,6,27.0,0.0,0.0,0.0,27.0,0.0,0.0,23.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L10,7,21.0,0.0,0.0,0.0,21.0,0.0,0.0,19.0,0.0,5.0
Scaled stress test,A_transactional_only,P13,L10,8,17.0,0.0,0.0,0.0,17.0,0.0,0.0,22.0,0.0,13.0
Scaled stress test,A_transactional_only,P13,L10,9,15.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,7.0
Scaled stress test,A_transactional_only,P13,L10,10,16.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,12.0
Scaled stress test,A_transactional_only,P13,L10,11,29.0,0.0,0.0,0.0,29.0,0.0,0.0,18.0,0.0,9.0
Scaled stress test,A_transactional_only,P13,L10,12,27.0,0.0,0.0,0.0,27.0,0.0,0.0,9.0,0.0,13.0
Scaled stress test,A_transactional_only,P14,L01,1,17.0,0.0,0.0,0.0,30.0,0.0,0.0,11.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L01,2,30.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,0.0,14.0
Scaled stress test,A_transactional_only,P14,L01,3,25.0,0.0,0.0,0.0,25.0,0.0,0.0,12.0,0.0,14.0
Scaled stress test,A_transactional_only,P14,L01,4,30.0,0.0,0.0,0.0,30.0,0.0,0.0,18.0,0.0,13.0
Scaled stress test,A_transactional_only,P14,L01,5,21.0,0.0,0.0,0.0,21.0,0.0,0.0,22.0,0.0,20.0
Scaled stress test,A_transactional_only,P14,L01,6,21.0,0.0,0.0,0.0,21.0,0.0,0.0,22.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L01,7,20.0,0.0,0.0,0.0,20.0,0.0,0.0,13.0,0.0,8.0
Scaled stress test,A_transactional_only,P14,L01,8,14.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,12.0
Scaled stress test,A_transactional_only,P14,L01,9,19.0,0.0,0.0,0.0,19.0,0.0,0.0,20.0,0.0,12.0
Scaled stress test,A_transactional_only,P14,L01,10,20.0,0.0,0.0,0.0,20.0,0.0,0.0,21.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L01,11,17.0,0.0,0.0,0.0,17.0,0.0,0.0,18.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L01,12,29.0,0.0,0.0,0.0,29.0,0.0,0.0,25.0,0.0,17.0
Scaled stress test,A_transactional_only,P14,L02,1,25.0,0.0,0.0,0.0,27.0,0.0,15.0,0.0,0.0,15.0
Scaled stress test,A_transactional_only,P14,L02,2,44.0,0.0,0.0,0.0,23.0,0.0,21.0,0.0,0.0,16.0
Scaled stress test,A_transactional_only,P14,L02,3,41.0,0.0,0.0,0.0,26.0,0.0,15.0,0.0,0.0,16.0
Scaled stress test,A_transactional_only,P14,L02,4,43.0,0.0,0.0,0.0,18.0,0.0,25.0,0.0,0.0,14.0
Scaled stress test,A_transactional_only,P14,L02,5,38.0,0.0,0.0,0.0,28.0,0.0,10.0,0.0,0.0,6.0
Scaled stress test,A_transactional_only,P14,L02,6,30.0,0.0,0.0,0.0,16.0,0.0,14.0,0.0,0.0,15.0
Scaled stress test,A_transactional_only,P14,L02,7,45.0,0.0,0.0,0.0,22.0,0.0,23.0,0.0,0.0,19.0
Scaled stress test,A_transactional_only,P14,L02,8,43.0,0.0,0.0,0.0,23.0,0.0,20.0,0.0,0.0,9.0
Scaled stress test,A_transactional_only,P14,L02,9,33.0,0.0,0.0,0.0,19.0,0.0,14.0,0.0,0.0,6.0
Scaled stress test,A_transactional_only,P14,L02,10,45.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,19.0
Scaled stress test,A_transactional_only,P14,L02,11,42.0,0.0,0.0,0.0,17.0,0.0,25.0,0.0,0.0,8.0
Scaled stress test,A_transactional_only,P14,L02,12,40.0,0.0,0.0,0.0,21.0,0.0,19.0,0.0,0.0,13.0
Scaled stress test,A_transactional_only,P14,L03,1,0.0,0.0,3.0,0.0,14.0,0.0,0.0,22.0,0.0,11.0
Scaled stress test,A_transactional_only,P14,L03,2,25.0,0.0,0.0,0.0,28.0,0.0,0.0,9.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L03,3,26.0,0.0,0.0,0.0,26.0,0.0,0.0,9.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L03,4,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,12.0
Scaled stress test,A_transactional_only,P14,L03,5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L03,6,27.0,0.0,0.0,0.0,27.0,0.0,0.0,25.0,0.0,6.0
Scaled stress test,A_transactional_only,P14,L03,7,28.0,0.0,0.0,0.0,28.0,0.0,0.0,18.0,0.0,10.0
Scaled stress test,A_transactional_only,P14,L03,8,25.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L03,9,14.0,0.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,8.0
Scaled stress test,A_transactional_only,P14,L03,10,26.0,0.0,0.0,0.0,26.0,0.0,0.0,13.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L03,11,25.0,0.0,0.0,0.0,25.0,0.0,0.0,21.0,0.0,9.0
Scaled stress test,A_transactional_only,P14,L03,12,16.0,0.0,0.0,0.0,16.0,0.0,0.0,19.0,0.0,17.0
Scaled stress test,A_transactional_only,P14,L04,1,15.0,0.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,20.0
Scaled stress test,A_transactional_only,P14,L04,2,15.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,12.0
Scaled stress test,A_transactional_only,P14,L04,3,22.0,0.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,17.0
Scaled stress test,A_transactional_only,P14,L04,4,30.0,0.0,0.0,0.0,30.0,0.0,0.0,23.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L04,5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,19.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L04,6,19.0,0.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,11.0
Scaled stress test,A_transactional_only,P14,L04,7,18.0,0.0,0.0,0.0,18.0,0.0,0.0,15.0,0.0,8.0
Scaled stress test,A_transactional_only,P14,L04,8,29.0,0.0,0.0,0.0,29.0,0.0,0.0,19.0,0.0,10.0
Scaled stress test,A_transactional_only,P14,L04,9,24.0,0.0,0.0,0.0,24.0,0.0,0.0,23.0,0.0,19.0
Scaled stress test,A_transactional_only,P14,L04,10,15.0,0.0,0.0,0.0,15.0,0.0,0.0,14.0,0.0,5.0
Scaled stress test,A_transactional_only,P14,L04,11,28.0,0.0,0.0,0.0,28.0,0.0,0.0,11.0,0.0,6.0
Scaled stress test,A_transactional_only,P14,L04,12,14.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,19.0
Scaled stress test,A_transactional_only,P14,L05,1,14.0,0.0,0.0,0.0,21.0,0.0,0.0,13.0,0.0,5.0
Scaled stress test,A_transactional_only,P14,L05,2,27.0,0.0,0.0,0.0,27.0,0.0,0.0,16.0,0.0,14.0
Scaled stress test,A_transactional_only,P14,L05,3,29.0,0.0,0.0,0.0,29.0,0.0,0.0,22.0,0.0,16.0
Scaled stress test,A_transactional_only,P14,L05,4,30.0,0.0,0.0,0.0,30.0,0.0,0.0,9.0,0.0,14.0
Scaled stress test,A_transactional_only,P14,L05,5,27.0,0.0,0.0,0.0,27.0,0.0,0.0,15.0,0.0,11.0
Scaled stress test,A_transactional_only,P14,L05,6,14.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L05,7,15.0,0.0,0.0,0.0,15.0,0.0,0.0,22.0,0.0,19.0
Scaled stress test,A_transactional_only,P14,L05,8,29.0,0.0,0.0,0.0,29.0,0.0,0.0,20.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L05,9,26.0,0.0,0.0,0.0,26.0,0.0,0.0,19.0,0.0,4.0
Scaled stress test,A_transactional_only,P14,L05,10,22.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,6.0
Scaled stress test,A_transactional_only,P14,L05,11,30.0,0.0,0.0,0.0,30.0,0.0,0.0,21.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L05,12,17.0,0.0,0.0,0.0,17.0,0.0,0.0,21.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L06,1,0.0,0.0,7.0,0.0,17.0,0.0,0.0,24.0,0.0,13.0
Scaled stress test,A_transactional_only,P14,L06,2,20.0,0.0,0.0,0.0,27.0,0.0,0.0,17.0,0.0,4.0
Scaled stress test,A_transactional_only,P14,L06,3,29.0,0.0,0.0,0.0,29.0,0.0,0.0,16.0,0.0,15.0
Scaled stress test,A_transactional_only,P14,L06,4,28.0,0.0,0.0,0.0,28.0,0.0,0.0,21.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L06,5,15.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,13.0
Scaled stress test,A_transactional_only,P14,L06,6,21.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,4.0
Scaled stress test,A_transactional_only,P14,L06,7,28.0,0.0,0.0,0.0,28.0,0.0,0.0,13.0,0.0,19.0
Scaled stress test,A_transactional_only,P14,L06,8,15.0,0.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0,4.0
Scaled stress test,A_transactional_only,P14,L06,9,24.0,0.0,0.0,0.0,24.0,0.0,0.0,10.0,0.0,11.0
Scaled stress test,A_transactional_only,P14,L06,10,19.0,0.0,0.0,0.0,19.0,0.0,0.0,17.0,0.0,11.0
Scaled stress test,A_transactional_only,P14,L06,11,26.0,0.0,0.0,0.0,26.0,0.0,0.0,16.0,0.0,20.0
Scaled stress test,A_transactional_only,P14,L06,12,24.0,0.0,0.0,0.0,24.0,0.0,0.0,13.0,0.0,7.0
Scaled stress test,A_transactional_only,P14,L07,1,8.0,0.0,0.0,0.0,25.0,0.0,0.0,13.0,0.0,18.0
Scaled stress test,A_transactional_only,P14,L07,2,23.0,0.0,0.0,0.0,23.0,0.0,0.0,20.0,0.0,4.0
Scaled stress test,A_transactional_only,P14,L07,3,22.0,0.0,0.0,0.0,22.0,0.0,0.0,24.0,0.0,5.0
Scaled stress test,A_transactional_only,P14,L07,4,17.0,0.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,4.0
Scaled stress test,A_transactional_only,P14,L07,5,16.0,0.0,0.0,0.0,16.0,0.0,0.0,19.0,0.0,14.0
Scaled stress test,A_transactional_only,P14,L07,6,18.0,0.0,0.0,0.0,18.0,0.0,0.0,21.0,0.0,8.0
